Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Adana,Mediterranean,5.17,1.31,3.75,4.29,0.29,4.58,3.26,-7.93,-7.0,35.72,24.12,44.5,26.75,31.32,67
Adıyaman,Southeastern Anatolia,0.89,0.41,4.77,5.5,0.86,1.25,1.07,-0.49,-7.0,3.2,35.97,11.35,74.14,35.26,58
Afyonkarahisar,Aegean,2.73,2.1,7.11,6.43,1.9,2.92,2.93,-5.22,-7.0,25.36,54.21,32.55,44.01,42.64,40
Aksaray,Central Anatolia,1.87,2.14,6.8,6.21,1.5,1.25,0.92,-4.62,-1.0,20.21,50.28,10.45,86.05,45.51,31
Amasya,Black Sea,2.54,1.68,7.34,8.36,2.7,2.08,2.29,-5.49,-10.0,21.53,66.74,23.66,23.18,39.43,47
Ankara,Central Anatolia,8.11,2.5,4.92,6.43,1.1,10.0,4.55,-2.79,-4.0,61.64,41.56,84.8,78.6,64.14,4
Antalya,Mediterranean,5.4,2.16,5.94,6.0,0.34,5.42,1.99,-8.54,-7.0,42.5,40.84,41.92,22.87,36.83,54
Ardahan,Eastern Anatolia,0.0,2.79,6.64,7.64,2.97,2.08,2.15,-5.9,-7.0,12.55,61.87,22.82,39.68,40.4,46
Artvin,Black Sea,5.56,7.63,8.59,8.36,4.58,2.08,1.56,-1.42,-4.0,77.84,79.98,19.28,87.32,66.37,3
Aydın,Aegean,4.68,4.33,6.95,7.64,1.25,4.58,2.5,-9.13,-10.0,51.6,55.9,39.94,0.0,37.4,52
Ağrı,Eastern Anatolia,1.26,0.38,2.81,1.93,0.6,0.83,0.39,-1.83,-7.0,5.34,11.47,4.74,65.61,22.56,79
Balıkesir,Marmara,3.7,3.25,6.41,7.64,1.68,2.5,2.34,-7.57,-10.0,38.67,55.44,26.49,9.94,34.73,60
Bartın,Black Sea,3.05,5.22,7.89,7.14,2.22,2.08,2.15,-4.3,-10.0,46.96,61.87,22.82,30.76,42.47,41
Batman,Southeastern Anatolia,3.32,1.25,3.2,2.14,0.36,1.67,1.02,-1.09,-7.0,23.73,12.99,13.57,70.32,28.81,74
Bayburt,Black Sea,0.0,3.84,8.05,7.86,5.28,2.5,1.11,-1.07,-4.0,19.15,78.54,19.1,89.55,59.01,9
Bilecik,Marmara,1.88,0.0,7.97,5.71,3.87,1.67,0.78,-5.7,-10.0,6.84,63.14,12.13,21.85,33.03,64
Bingöl,Eastern Anatolia,1.46,3.17,5.62,5.5,1.89,1.25,2.19,-1.81,-10.0,24.11,43.93,18.08,46.62,35.66,57
Bitlis,Eastern Anatolia,1.08,1.81,5.31,4.07,1.69,1.25,2.07,-1.45,-7.0,13.18,35.72,17.36,68.03,36.39,55
Bolu,Black Sea,4.99,5.71,7.19,7.14,3.32,7.08,10.0,-6.39,-10.0,62.21,63.56,100.0,17.45,60.97,8
Burdur,Mediterranean,4.03,2.53,8.05,8.57,4.71,2.5,2.66,-5.6,-10.0,36.22,79.14,28.41,22.48,46.93,27
Bursa,Marmara,4.82,1.65,5.16,4.79,0.09,3.33,2.21,-4.93,-10.0,35.66,31.36,30.69,26.75,30.58,69
Denizli,Aegean,4.0,4.76,6.56,7.43,1.69,4.58,3.01,-9.12,-10.0,50.03,55.23,43.0,0.06,37.73,51
Diyarbakır,Southeastern Anatolia,4.31,1.93,1.25,1.71,0.11,3.33,2.85,-3.04,-7.0,34.21,1.86,34.53,57.9,28.08,75
Düzce,Black Sea,2.6,1.62,7.11,6.0,1.02,4.17,1.27,-5.96,-10.0,21.53,48.67,30.09,20.19,33.51,63
Edirne,Marmara,5.92,1.94,7.27,7.64,2.94,7.5,6.84,-10.0,-4.0,44.38,64.41,83.54,32.68,58.76,10
Elazığ,Eastern Anatolia,1.87,2.76,5.23,6.21,0.83,5.42,7.19,-5.64,-7.0,24.11,40.8,73.15,41.34,46.94,26
Erzincan,Eastern Anatolia,1.75,1.46,7.97,8.14,4.07,2.92,3.11,-5.85,-10.0,15.19,74.27,33.63,20.89,43.38,37
Erzurum,Eastern Anatolia,4.84,1.36,5.94,6.21,2.4,5.83,6.54,-4.33,-7.0,33.96,50.44,71.71,49.68,53.51,15
Eskişehir,Central Anatolia,6.26,3.87,5.94,7.14,1.28,5.83,5.86,-5.1,-7.0,58.63,49.64,67.63,44.78,54.05,14
Gaziantep,Southeastern Anatolia,3.58,2.11,1.88,1.93,0.04,2.92,2.25,-4.8,-4.0,30.76,5.16,28.47,65.8,29.35,73
Giresun,Black Sea,1.97,2.02,8.05,7.43,2.35,2.5,3.71,-5.04,-4.0,20.09,64.33,34.71,64.27,51.38,19
Gümüşhane,Black Sea,0.0,1.73,8.52,8.36,4.52,1.25,1.86,-3.69,-4.0,5.9,79.43,16.1,72.87,52.77,16
Hakkari,Eastern Anatolia,0.0,1.43,0.0,1.71,0.92,0.0,0.43,-0.49,-10.0,4.02,0.0,0.0,55.03,14.26,81
Hatay,Mediterranean,3.83,1.42,4.06,4.07,0.48,2.5,1.11,-3.54,-10.0,28.0,25.31,19.1,35.61,26.67,77
Isparta,Mediterranean,3.75,1.91,7.89,8.36,6.28,7.5,6.8,-5.86,-10.0,30.57,84.21,83.3,20.83,61.43,6
Iğdır,Eastern Anatolia,0.0,2.11,3.75,5.29,1.76,0.42,0.49,-5.2,-7.0,8.29,34.57,2.88,44.14,25.76,78
Kahramanmaraş,Mediterranean,4.07,1.99,3.75,4.57,0.35,2.08,2.13,-3.62,-7.0,33.08,25.56,22.7,54.2,32.94,65
Karabük,Black Sea,5.23,3.26,7.66,7.86,2.27,3.33,2.81,-5.39,-10.0,48.34,64.16,34.29,23.82,44.63,34
Karaman,Central Anatolia,2.34,2.89,7.34,5.71,2.54,2.08,2.87,-8.53,-1.0,27.87,54.85,27.15,61.15,46.13,29
Kars,Eastern Anatolia,1.97,1.78,6.41,5.5,2.25,3.33,2.56,-4.19,-7.0,18.58,48.79,32.79,50.57,41.46,44
Kastamonu,Black Sea,2.58,1.52,7.66,7.14,3.57,1.67,3.24,-4.77,-4.0,20.78,66.61,26.91,65.99,50.8,20
Kayseri,Central Anatolia,4.87,2.88,5.62,5.29,0.97,4.58,3.42,-6.28,-4.0,43.69,39.15,45.47,56.37,45.6,30
Kilis,Southeastern Anatolia,3.03,5.74,6.02,4.79,1.63,3.33,0.66,-5.28,-4.0,50.09,41.52,21.38,62.74,42.86,39
Kocaeli,Marmara,4.44,1.26,5.47,4.79,0.0,3.75,2.19,-3.11,-10.0,30.82,32.29,33.09,38.34,33.82,62
Konya,Central Anatolia,5.16,1.92,4.77,6.0,1.11,4.58,3.63,-4.85,-4.0,39.49,39.15,46.73,65.48,47.67,24
Kütahya,Aegean,5.14,2.68,6.95,7.14,1.76,2.08,3.3,-4.07,-7.0,44.13,55.95,29.73,51.34,46.76,28
Kırklareli,Marmara,3.79,2.1,7.34,6.0,2.22,2.08,2.03,-6.55,-1.0,32.02,54.72,22.1,73.76,48.49,22
Kırıkkale,Central Anatolia,8.95,1.01,7.58,7.64,2.53,7.08,5.37,-4.3,-10.0,57.56,63.99,72.19,30.76,56.93,12
Kırşehir,Central Anatolia,3.98,1.03,7.27,8.86,3.74,2.5,1.86,-4.41,-10.0,26.49,72.96,23.6,30.06,44.09,36
Malatya,Eastern Anatolia,5.73,2.92,6.02,7.14,1.13,5.42,3.95,-3.27,-7.0,49.34,49.34,53.69,56.43,52.2,18
Manisa,Aegean,4.69,1.37,6.33,6.43,0.9,3.75,3.24,-7.47,-10.0,33.08,46.68,39.4,10.57,34.13,61
Mardin,Southeastern Anatolia,2.08,1.3,3.75,2.43,0.34,0.83,0.0,-1.04,-4.0,16.26,16.46,2.4,89.75,31.24,68
Mersin,Mediterranean,3.71,3.08,5.23,6.43,0.52,2.92,1.45,-7.84,-4.0,37.66,40.41,23.66,46.43,37.38,53
Muğla,Aegean,6.72,10.0,6.8,7.86,1.14,3.75,2.03,-6.92,-10.0,100.0,55.73,32.13,14.08,44.95,33
Muş,Eastern Anatolia,1.51,1.95,5.23,3.36,1.35,0.83,1.11,-0.2,-10.0,16.76,30.94,9.07,56.88,30.18,72
Nevşehir,Central Anatolia,7.93,5.54,7.19,7.43,10.0,2.08,1.7,-6.2,-4.0,79.6,93.06,20.12,56.88,64.1,5
Niğde,Central Anatolia,1.99,0.89,6.95,6.93,2.47,1.25,0.78,-6.53,-1.0,13.12,58.06,9.61,73.89,44.29,35
Ordu,Black Sea,3.15,3.2,6.56,7.14,1.85,2.5,2.52,-4.96,-4.0,34.9,54.68,27.57,64.78,47.96,23
Osmaniye,Mediterranean,2.6,3.25,4.77,5.5,0.66,2.08,1.43,-5.79,-10.0,31.76,35.12,18.5,21.27,27.08,76
Rize,Black Sea,2.56,3.95,7.66,7.43,3.19,4.58,3.89,-2.43,-1.0,35.91,66.23,48.29,100.0,66.4,2
Sakarya,Marmara,4.75,1.9,5.31,5.0,0.48,2.92,1.04,-4.4,-10.0,36.79,34.53,21.2,30.13,30.38,70
Samsun,Black Sea,3.9,1.2,6.09,7.14,0.68,5.42,4.16,-5.6,-7.0,27.06,47.74,54.95,41.59,45.42,32
Siirt,Southeastern Anatolia,3.84,6.06,5.78,3.86,1.48,0.83,2.7,-0.4,-10.0,57.19,35.93,18.62,55.61,39.18,48
Sinop,Black Sea,0.0,6.73,7.89,7.14,4.34,2.08,2.34,-5.37,-4.0,37.29,70.84,23.96,62.17,52.76,17
Sivas,Central Anatolia,4.08,2.32,7.11,6.93,3.55,5.0,5.29,-3.61,-4.0,35.22,63.31,59.22,73.38,61.29,7
Tekirdağ,Marmara,4.69,2.51,5.7,4.07,0.49,2.92,1.82,-4.2,-7.0,40.24,32.29,25.89,50.51,36.24,56
Tokat,Black Sea,4.62,1.54,6.17,7.14,1.57,3.33,3.65,-4.0,-10.0,33.71,51.84,39.34,32.68,41.66,43
Trabzon,Black Sea,6.51,3.45,6.64,7.64,1.48,6.25,5.88,-3.0,-1.0,57.56,55.56,70.27,96.37,69.69,1
Tunceli,Eastern Anatolia,1.76,5.16,10.0,10.0,6.26,2.5,1.7,-2.72,-10.0,38.48,100.0,22.64,40.83,58.18,11
Uşak,Aegean,5.83,1.61,6.25,7.43,2.13,2.5,2.95,-8.45,-10.0,41.75,55.78,30.15,4.33,34.76,59
Van,Eastern Anatolia,1.36,0.38,4.92,1.93,0.17,2.08,2.05,-1.46,-7.0,5.96,18.58,22.22,67.96,30.26,71
Yalova,Marmara,9.6,2.97,6.02,7.14,0.75,2.5,0.78,-4.75,-10.0,73.95,47.74,17.12,27.9,38.4,50
Yozgat,Central Anatolia,2.1,3.0,8.2,7.86,2.53,2.92,2.07,-3.44,-4.0,27.06,67.54,27.39,74.46,54.17,13
Zonguldak,Black Sea,5.29,3.68,6.8,6.21,0.76,4.58,4.14,-5.28,-7.0,51.35,47.14,49.79,43.63,47.45,25
Çanakkale,Marmara,3.4,6.01,7.58,7.86,1.6,4.17,2.58,-7.24,-10.0,54.11,60.98,37.96,12.04,42.13,42
Çankırı,Central Anatolia,2.62,1.39,8.12,6.93,6.87,2.08,2.32,-2.54,-10.0,20.21,81.63,23.84,41.97,49.59,21
Çorum,Black Sea,3.07,0.53,6.95,7.14,3.39,2.08,3.18,-5.74,-7.0,17.64,62.84,29.01,40.7,43.2,38
İstanbul,Marmara,10.0,3.8,3.44,2.43,0.01,5.0,2.05,-2.35,-7.0,81.67,13.75,39.76,62.29,40.88,45
İzmir,Aegean,5.25,4.95,5.23,6.93,0.06,7.08,2.91,-8.13,-10.0,59.07,40.58,57.42,6.37,38.55,49
Şanlıurfa,Southeastern Anatolia,2.09,0.84,4.45,0.5,0.1,2.08,0.53,-0.92,-4.0,13.43,10.24,13.09,90.51,31.42,66
Şırnak,Eastern Anatolia,0.0,0.79,3.59,0.0,0.34,0.42,0.33,-0.0,-7.0,0.0,5.5,1.92,77.26,21.86,80
